,index,Total:,    Population_of_one_race:,        White_alone,        Black_or_African_American_alone,        American_Indian_and_Alaska_Native_alone,        Asian_alone,        Native_Hawaiian_and_Other_Pacific_Islander_alone,        Some_Other_Race_alone,year
0,"Autauga County, Alabama","54,571","53,702","42,855","9,643",232,474,32,466,2010
0,"Autauga County, Alabama","58,805","55,648","42,160","11,445",217,881,35,910,2020
1,"Baldwin County, Alabama","182,265","179,542","156,153","17,105","1,216","1,348",89,"3,631",2010
1,"Baldwin County, Alabama","231,767","216,743","189,399","18,217","1,582","2,067",143,"5,335",2020
2,"Barbour County, Alabama","27,457","27,199","13,180","12,875",114,107,29,894,2010
2,"Barbour County, Alabama","25,223","24,523","11,317","11,933",116,117,1,"1,039",2020
3,"Bibb County, Alabama","22,915","22,712","17,381","5,047",64,22,13,185,2010
3,"Bibb County, Alabama","22,293","21,534","16,555","4,413",60,32,9,465,2020
4,"Blount County, Alabama","57,322","56,638","53,068",761,307,117,38,"2,347",2010
4,"Blount County, Alabama","59,134","55,478","50,663",845,337,178,24,"3,431",2020
5,"Bullock County, Alabama","10,914","10,828","2,507","7,666",23,20,43,569,2010
5,"Bullock County, Alabama","10,357","10,109","2,320","7,396",72,9,10,302,2020
6,"Butler County, Alabama","20,947","20,786","11,399","9,095",60,177,7,48,2010
6,"Butler County, Alabama","19,051","18,464","9,752","8,430",29,143,5,105,2020
7,"Calhoun County, Alabama","116,441","110,412","80,586","25,559",487,"1,190",119,"2,471",2020
7,"Calhoun County, Alabama","118,572","116,597","88,840","24,382",540,845,96,"1,894",2010
8,"Chambers County, Alabama","34,772","33,562","18,850","13,512",106,401,13,680,2020
8,"Chambers County, Alabama","34,215","33,830","20,112","13,257",69,168,10,214,2010
9,"Cherokee County, Alabama","24,971","24,051","22,707",987,109,56,1,191,2020
9,"Cherokee County, Alabama","25,989","25,602","24,081","1,208",135,54,1,123,2010
10,"Chilton County, Alabama","45,014","43,011","35,527","4,067",338,181,6,"2,892",2020
10,"Chilton County, Alabama","43,643","43,137","36,713","4,230",155,130,55,"1,854",2010
11,"Choctaw County, Alabama","13,859","13,801","7,731","6,012",18,12,0,28,2010
11,"Choctaw County, Alabama","12,665","12,405","7,074","5,232",30,22,0,47,2020
12,"Clarke County, Alabama","25,833","25,657","14,070","11,336",103,77,4,67,2010
12,"Clarke County, Alabama","23,087","22,535","12,029","10,255",74,94,1,82,2020
13,"Clay County, Alabama","13,932","13,697","11,380","2,066",55,24,0,172,2010
13,"Clay County, Alabama","14,236","13,641","11,375","1,963",56,48,4,195,2020
14,"Cleburne County, Alabama","14,972","14,812","14,079",498,51,23,10,151,2010
14,"Cleburne County, Alabama","15,056","14,490","13,819",466,53,21,2,129,2020
15,"Coffee County, Alabama","53,465","49,358","37,080","8,760",640,909,61,"1,908",2020
15,"Coffee County, Alabama","49,948","48,701","37,330","8,359",645,644,100,"1,623",2010
16,"Colbert County, Alabama","54,428","53,583","43,789","8,768",267,229,20,510,2010
16,"Colbert County, Alabama","57,227","54,530","43,631","9,286",270,432,9,902,2020
17,"Conecuh County, Alabama","11,597","11,228","5,912","5,104",72,40,1,99,2020
17,"Conecuh County, Alabama","13,228","13,096","6,788","6,149",44,17,1,97,2010
18,"Coosa County, Alabama","11,539","11,436","7,648","3,582",40,16,15,135,2010
18,"Coosa County, Alabama","10,387","10,033","6,824","3,008",31,8,0,162,2020
19,"Covington County, Alabama","37,570","36,128","30,877","4,607",147,240,0,257,2020
19,"Covington County, Alabama","37,765","37,243","32,022","4,716",214,155,1,135,2010
20,"Crenshaw County, Alabama","13,906","13,704","10,097","3,254",57,189,8,99,2010
20,"Crenshaw County, Alabama","13,194","12,715","9,388","3,103",62,83,2,77,2020
21,"Cullman County, Alabama","80,406","79,517","76,133",856,408,343,18,"1,759",2010
21,"Cullman County, Alabama","87,866","83,209","79,142",937,408,522,64,"2,136",2020
22,"Dale County, Alabama","50,251","48,746","37,236","9,679",371,534,44,882,2010
