,county,state,total_10,total_20,total_one_10,total_one_20,wh_10,wh_20,bl_10,bl_20,na_10,na_20,as_10,as_20,ha_10,ha_20,o_10,o_20,total_change,total_1_change,wh_change,bl_change,na_change,as_change,ha_change,o_change,Abb,county_state,price_change,wh_p_10,wh_p_20,bl_p_10,bl_p_20,na_p_10,na_p_20,as_p_10,as_p_20,ha_p_10,ha_p_20,o_p_10,o_p_20,wh_p_change_20,bl_p_change_20,na_p_change_20,as_p_change_20,ha_p_change_20,o_p_change_20,adj_price_change,county_size_20,median_p
0,Abbeville County,South Carolina,25417.0,24295.0,25126.0,23408.0,17691.0,16877.0,7187.0,6205.0,60.0,44.0,75.0,73.0,5.0,11.0,108.0,198.0,-4.414368336152968,-6.837538804425694,-4.601209654626646,-13.663559204118547,-26.666666666666668,-2.666666666666667,120.0,83.33333333333334,SC,Abbeville_County_SC,30.791810928797226,69.60302159971673,69.46696851203951,28.276350474092144,25.540234616176168,0.2360624778691427,0.181107223708582,0.29507809733642837,0.30047334842560197,0.019671873155761892,0.0452768059271455,0.42491246016445683,0.814982506688619,-0.1360530876772117,-2.7361158579159763,-0.054955254160560685,0.005395251089173603,0.02560493277138361,0.3900700465241622,-5.958813550803093,medium,107000
1,Acadia Parish,Louisiana,61773.0,57576.0,60957.0,55603.0,49127.0,44480.0,11175.0,9989.0,163.0,152.0,137.0,163.0,6.0,2.0,349.0,817.0,-6.794230489048614,-8.783240645044868,-9.459156879109248,-10.612975391498882,-6.748466257668712,18.97810218978102,-66.66666666666666,134.0974212034384,LA,Acadia_Parish_LA,21.681052198931365,79.52827287002413,77.25441156037238,18.090427856830654,17.34924274003057,0.26386932802357016,0.26399888842573294,0.2217797419584608,0.2831040711407531,0.00971298139964062,0.003473669584549118,0.5649717514124294,1.4189940252883146,-2.2738613096517497,-0.7411851168000858,0.0001295604021627761,0.061324329182292275,-0.006239311815091502,0.8540222738758853,-15.069572280668954,medium,169900
2,Accomack County,Virginia,33164.0,33413.0,32625.0,31655.0,21662.0,20261.0,9303.0,8670.0,135.0,297.0,183.0,255.0,40.0,4.0,1302.0,2168.0,0.7508141358099143,-2.9731800766283527,-6.467546856245961,-6.804256691389875,120.0,39.34426229508197,-90.0,66.51305683563749,VA,Accomack_County_VA,19.511769834350474,65.31781449764806,60.638075000748216,28.05150162827162,25.94798431748122,0.4070679049571825,0.8888755873462426,0.5518031600530696,0.7631760093376829,0.12061271257990593,0.011971388381767575,3.9259437944759377,6.488492502918026,-4.679739496899842,-2.103517310790398,0.48180768238906013,0.2113728492846133,-0.10864132419813835,2.5625487084420886,-17.238854645249845,medium,193500
3,Ada County,Idaho,392365.0,494967.0,381195.0,453110.0,354347.0,410263.0,4441.0,8058.0,2610.0,3274.0,9407.0,13929.0,861.0,1318.0,9529.0,16268.0,26.149631083302538,18.865672424874408,15.780012247881315,81.44562035577573,25.440613026819925,48.07058573402785,53.07781649245064,70.72095707839227,ID,Ada_County_ID,150.0596801145858,90.31055267416819,82.88693993740996,1.1318542683470747,1.6279873203668125,0.6651969467205281,0.6614582386300502,2.397512520229888,2.814127002406221,0.21943853299861096,0.26628037828784545,2.4286060173562882,3.2866837587152276,-7.42361273675823,0.4961330520197378,-0.003738708090477938,0.4166144821763331,0.04684184528923449,0.8580777413589393,113.30905563498548,large,301400
4,Adair County,Iowa,7682.0,7496.0,7630.0,7262.0,7558.0,7149.0,11.0,46.0,4.0,19.0,22.0,23.0,1.0,2.0,34.0,23.0,-2.421244467586566,-4.823066841415465,-5.41148451971421,318.1818181818182,375.0,4.545454545454546,100.0,-32.35294117647059,IA,Adair_County_IA,36.14704954244242,98.38583702160896,95.37086446104588,0.14319187711533454,0.6136606189967982,0.0520697734964853,0.2534685165421558,0.2863837542306691,0.3068303094983991,0.013017443374121324,0.026680896478121666,0.44259307472012493,0.3068303094983991,-3.0149725605630806,0.4704687418814637,0.20139874304567051,0.020446555267730038,0.013663453104000342,-0.1357627652217258,-0.6035749371579016,small,115000
5,Adair County,Kentucky,18656.0,18903.0,18449.0,18226.0,17696.0,17322.0,503.0,529.0,36.0,34.0,45.0,64.0,5.0,6.0,164.0,271.0,1.3239708404802744,-1.2087376009539812,-2.113471971066908,5.168986083499006,-5.555555555555555,42.22222222222222,20.0,65.2439024390244,KY,Adair_County_KY,40.710811821922924,94.8542024013722,91.63624821456912,2.6961835334476847,2.7984975929746603,0.19296740994854203,0.17986562979421256,0.24120926243567753,0.33857059725969424,0.026801029159519728,0.03174099349309633,0.879073756432247,1.4336348727715176,-3.217954186803084,0.10231405952697559,-0.013101780154329473,0.09736133482401671,0.004939964333576602,0.5545611163392705,3.9601873423226053,small,120100
6,Adair County,Oklahoma,22683.0,19495.0,20298.0,16882.0,9757.0,7645.0,55.0,41.0,9823.0,8570.0,130.0,162.0,1.0,12.0,532.0,452.0,-14.054578318564564,-16.829244260518276,-21.645997745208568,-25.454545454545453,-12.755777257456987,24.615384615384617,1100.0,-15.037593984962406,OK,Adair_County_OK,60.199240986717264,43.01459242604594,39.215183380353935,0.2424723361107437,0.21031033598358553,43.30555922937883,43.95998974095922,0.5731164308072124,0.830982303154655,0.00440858792928625,0.061554244678122594,2.345368778380285,2.3185432162092843,-3.799409045692002,-0.03216200012715817,0.6544305115803937,0.2578658723474426,0.05714565674883634,-0.026825562171000517,23.448616507116945,small,111700
7,Adams County,Colorado,441603.0,519572.0,424099.0,428280.0,323795.0,289718.0,13539.0,17463.0,5916.0,9520.0,15931.0,23268.0,591.0,925.0,64327.0,87386.0,17.655903605727318,0.9858547178842676,-10.524251455396161,28.98293817859517,60.91954022988506,46.054861590609505,56.51438240270728,35.84653411475741,CO,Adams_County_CO,136.92719698472527,73.32264500014719,55.760895506301345,3.0658759111690816,3.3610356216270314,1.3396648120597008,1.8322773359611373,3.607538898060022,4.478301371128544,0.13383061256377332,0.17803114871471135,14.566703577647797,16.818843201712177,-17.561749493845845,0.29515971045794975,0.4926125239014365,0.8707624730685222,0.044200536150938025,2.2521396240643803,100.17657250512495,very_large,346500
8,Adams County,Idaho,3976.0,4379.0,3909.0,4159.0,3821.0,4060.0,5.0,3.0,39.0,38.0,16.0,11.0,2.0,0.0,26.0,47.0,10.135814889336016,6.395497569710923,6.254907092384193,-40.0,-2.564102564102564,-31.25,-100.0,80.76923076923077,ID,Adams_County_ID,87.79524732572331,96.10160965794769,92.71523178807946,0.12575452716297786,0.06850879196163508,0.9808853118712274,0.8677780315140443,0.4024144869215292,0.25119890385932864,0.05030181086519115,0.0,0.653923541247485,1.0733044073989495,-3.3863778698682268,-0.05724573520134278,-0.1131072803571831,-0.15121558306220056,-0.05030181086519115,0.4193808661514645,51.04462284612299,small,250600
9,Adams County,Illinois,67103.0,65737.0,66006.0,62520.0,62868.0,58837.0,2331.0,2501.0,111.0,104.0,441.0,513.0,12.0,39.0,243.0,526.0,-2.035676497325008,-5.281338060176348,-6.411847044601387,7.293007293007293,-6.306306306306306,16.3265306122449,225.0,116.46090534979423,IL,Adams_County_IL,26.2749276906683,93.6888067597574,89.50362809376759,3.4737642132244457,3.804554512679313,0.1654173434868784,0.15820618525335806,0.6571986349343546,0.7803824330285836,0.017882956052635502,0.05932731947000928,0.3621298600658689,0.8001582061852534,-4.18517866598981,0.3307902994548675,-0.007211158233520337,0.12318379809422897,0.04144436341737377,0.43802834611938446,-10.47569678893202,medium,134800
